Topic,Count,Name_info,Representation,Representative_Docs,Name_new,Tags_info,Document_info,Name,Tags_new,Document_new
-1,211,-1_riad_the_experience_parking,"['riad', 'the', 'experience', 'parking', 'bed', 'suite', 'shuttle', 'station', 'hammam', 'home']","['the hotel shuttle bus', 'away from the hustle and bustle', 'riad experience']",General Experience,"['riad', 'parking', 'shuttle', 'experience']","['very nice experience', 'jacuzzi', 'early check', 'm gallery', 'winter break', 'cocktail party', 'felt like home', 'Campania', 'double bed', 'long flight', 'bedding', 'the pearl', 'comfortable bed', 'airside', 'shuttle bus service', 'ms', 'big thanks', 'quarantine', 'exceptional service', 'short break', 'art deco', 'Visa', 'mouth watering', 'nice sea view', 'villa', 'family suite', 'belly dancing', 'tennis', 'break dance', 'fahrenheit', 'excellent location', 'concierge team', 'ramadan iftar', 'train station', 'tower reception', 'badminton', 'Beach', 'ocean front', 'bowling', 'atm', 'casa voyageurs', 'clarins spa', 'gym', 'junior studio', 'secret garden', 'Live Music', 'Delivery', 'private beach', 'all inclusive package', 'hour layover', 'an amazing experience', 'concierge', 'astor grill', 'atlas mountains', 'retreat', 'tram', 'hudson', 'peace and tranquility', 'garden view', 'fountain', 'casa port', 'Highchairs Available', 'home away from home', 'Mastercard', 'highly recommend this riad', 'beautiful riad', 'short stay', 'Free Wifi', 'relaxation', 'Gift Cards Available', 'foam party', 'surely comeback', 'emad', 'banks', 'property', 'many thanks', 'American Express', 'excellent experience', 'Fusion', 'opposite the train station', 'white party', 'wifi', 'long layover', 'Waterfront', 'during ramadan', 'Playgrounds', 'the atlantic ocean', 'excellent service', 'shower', 'team', 'west bay', 'tram line', 'room service', 'great experience for the entire family', 'immigration', 'late check', 'welcome drink', 'riad experience', 'metro station', 'checkin', 'an oasis', 'reception', 'the wi fi', 'the hustle and bustle', 'air conditioning', 'anfa place', 'balconies', 'amazing experience', 'entertainment team', 'junior suite', 'tennis courts', 'riad lydines', 'see you soon', 'every single detail', 'inner yard', 'guide', 'Parking Available', 'fizzy drinks', 'cinema', 'traditional hammam', 'casa', 'Digital Payments', 'mj', 'Free off-street parking', 'second home', 'Contemporary', 'riad blanc', 'culture', 'Family style', 'national museum', 'upgraded to a suite', 'Takeout', 'shuttle bus', 'terrace bar', 'm club', 'the hotel shuttle bus', 'passport', 'Sushi', 'teddy bear', 'stopover', 'table tennis', 'map', 'friday', 'mosque', 'Television', 'pasta station', 'guys', 'mobile phone', 'minutes from the airport', 'golf buggy', 'Street Parking', 'musicians', 'horse stables', 'cabin', 'port', 'ramadan', 'teds', 'sea view', 'riad dar', 'away from the hustle and bustle', 'free shuttle', 'toro toro', 'aparthotel', 'gardens are beautiful', 'Serves Alcohol', 'sofa bed', 'the location is perfect', 'furniture', 'Discover', 'animation team', 'medina', 'sushi', 'michael jackson show', 'lovely riad', 'check in was easy', 'Validated Parking', 'royal suite', 'tucked away', 'the vine', 'rates', 'thank you so much', 'comfortable beds', 'hammam', 'Dining bars', 'paloma', 'hammam and massage', 'sink', 'Drinks', 'bahia palace', 'bed was comfortable', 'privacy', 'palace', 'special thanks', 'deluxe suite', 'Wine and Beer', 'licensed', 'mia park', 'spa', 'sanctuary', 'hammam massage', 'mosque view', 'football pitch', 'mr', 'fitness instructor', 'falcon hospital', 'ambience', 'Valet Parking', 'Cash Only', 'location is great', 'comfy bed', 'Accepts Credit Cards']",General Experience,"['riad', 'parking', 'shuttle', 'experience']","['very nice experience', 'jacuzzi', 'early check', 'm gallery', 'winter break', 'cocktail party', 'felt like home', 'Campania', 'double bed', 'long flight', 'bedding', 'the pearl', 'comfortable bed', 'airside', 'shuttle bus service', 'ms', 'big thanks', 'quarantine', 'exceptional service', 'short break', 'art deco', 'Visa', 'mouth watering', 'nice sea view', 'villa', 'family suite', 'belly dancing', 'tennis', 'break dance', 'fahrenheit', 'excellent location', 'concierge team', 'ramadan iftar', 'train station', 'tower reception', 'badminton', 'Beach', 'ocean front', 'bowling', 'atm', 'casa voyageurs', 'clarins spa', 'gym', 'junior studio', 'secret garden', 'Live Music', 'Delivery', 'private beach', 'all inclusive package', 'hour layover', 'an amazing experience', 'concierge', 'astor grill', 'atlas mountains', 'retreat', 'tram', 'hudson', 'peace and tranquility', 'garden view', 'fountain', 'casa port', 'Highchairs Available', 'home away from home', 'Mastercard', 'highly recommend this riad', 'beautiful riad', 'short stay', 'Free Wifi', 'relaxation', 'Gift Cards Available', 'foam party', 'surely comeback', 'emad', 'banks', 'property', 'many thanks', 'American Express', 'excellent experience', 'Fusion', 'opposite the train station', 'white party', 'wifi', 'long layover', 'Waterfront', 'during ramadan', 'Playgrounds', 'the atlantic ocean', 'excellent service', 'shower', 'team', 'west bay', 'tram line', 'room service', 'great experience for the entire family', 'immigration', 'late check', 'welcome drink', 'riad experience', 'metro station', 'checkin', 'an oasis', 'reception', 'the wi fi', 'the hustle and bustle', 'air conditioning', 'anfa place', 'balconies', 'amazing experience', 'entertainment team', 'junior suite', 'tennis courts', 'riad lydines', 'see you soon', 'every single detail', 'inner yard', 'guide', 'Parking Available', 'fizzy drinks', 'cinema', 'traditional hammam', 'casa', 'Digital Payments', 'mj', 'Free off-street parking', 'second home', 'Contemporary', 'riad blanc', 'culture', 'Family style', 'national museum', 'upgraded to a suite', 'Takeout', 'shuttle bus', 'terrace bar', 'm club', 'the hotel shuttle bus', 'passport', 'Sushi', 'teddy bear', 'stopover', 'table tennis', 'map', 'friday', 'mosque', 'Television', 'pasta station', 'guys', 'mobile phone', 'minutes from the airport', 'golf buggy', 'Street Parking', 'musicians', 'horse stables', 'cabin', 'port', 'ramadan', 'teds', 'sea view', 'riad dar', 'away from the hustle and bustle', 'free shuttle', 'toro toro', 'aparthotel', 'gardens are beautiful', 'Serves Alcohol', 'sofa bed', 'the location is perfect', 'furniture', 'Discover', 'animation team', 'medina', 'sushi', 'michael jackson show', 'lovely riad', 'check in was easy', 'Validated Parking', 'royal suite', 'tucked away', 'the vine', 'rates', 'thank you so much', 'comfortable beds', 'hammam', 'Dining bars', 'paloma', 'hammam and massage', 'sink', 'Drinks', 'bahia palace', 'bed was comfortable', 'privacy', 'palace', 'special thanks', 'deluxe suite', 'Wine and Beer', 'licensed', 'mia park', 'spa', 'sanctuary', 'hammam massage', 'mosque view', 'football pitch', 'mr', 'fitness instructor', 'falcon hospital', 'ambience', 'Valet Parking', 'Cash Only', 'location is great', 'comfy bed', 'Accepts Credit Cards']"
0,189,0_moroccan_french_arabic_el,"['moroccan', 'french', 'arabic', 'el', 'marrakech', 'al', 'qatar', 'persian', 'souks', 'jemaa']","['French', 'french', 'Moroccan']",Cultural & Language,"['Oreintal', 'Cultural', 'Arabic', 'Markets & Souks', 'Heritage', 'Outdoor Spaces']","['bassem', 'bira', 'huda', 'asif', 'African', 'omar', 'flexi', 'Moroccan', 'al mirqab', 'liang', 'marakesh', 'fs', 'Neapolitan', 'mich', 'adil', 'moroccan food', 'moroccan dishes', 'espa', 'izu', 'Central-Italian', 'mahindra', 'marmara', 'mourad', 'heart of marrakech', 'arabic coffee', 'french', 'Southern-Italian', 'visiting marrakech', 'rania', 'mona', 'speak french', 'BYOB', 'roshan', 'Lebanese', 'souks', 'Sicilian', 'esperanza', 'visiting doha', 'cantika', 'gueliz', 'hakkasan', 'rousseau', 'Chinese', 'louie', 'french families', 'french guests', 'Spanish', 'yummmy', 'bleu', 'British', 'maha', 'lok', 'rochelle', 'patara', 'eunice', 'camel riding', 'tuan', 'International', 'jemaa el', 'hossam', 'bhawani', 'elsa', 'sara', 'Mediterranean', 'Japanese', 'nadir', 'kempenski', 'meera', 'Romana', 'nino', 'hassan', 'zizou', 'lal', 'sabir', 'edward', 'Asian', 'f b', 'jemaa el fnaa square', 'world cup', 'sou sou', 'l orangerie', 'moroccan cuisine', 'amal', 'sofra', 'badia', 'souk', 'Italian', 'moroccan restaurant', 'yunus', 'johannes', 'Middle Eastern', 'ismail', 'corniche', 'crazy souks', 'Japanese Fusion', 'qatar', 'tui rep', 'cabana', 'arabic', 'fouad', 'al sufra', 'jo ann', 'shiva', 'charles', 'olea', 'souq waqif', 'mellah', 'ihg', 'rai', 'dada', 'funda', 'Indian', 'visit marrakech', 'Thai', 'al wadi', 'el faro', 'qatar airways', 'paninis', 'camel ride', 'winston churchill', 'Turkish', 'anthony', 'dh', 'nur', 'abed', 'fatima', 'eid', 'selma', 'iftar', 'hassan ii', 'abu', 'maldives', 'mido', 'nadia', 'emmanuel', 'terrasse', 'susu', 'souq', 'European', 'sharif', 'suman', 'Persian', 'arabic restaurant', 'kasbah', 'Mexican', 'rahman', 'morocco', 'rosette', 'farah', 'casablanca', 'marrakech', 'yuzu', 'menara', 'hind', 'nana', 'shisha', 'manu', 'bacem', 'salim', 'Arabic', 'koutoubia', 'museum of islamic art', 'el', 'ona', 'juluis', 'french speaking', 'Lazio', 'al nahham', 'osama', 'jasmin', 'ayoub', 'luc', 'persian', 'barcelo', 'sindhi', 'ashok', 'la mar', 'aya', 'wolfgang puck', 'American', 'French', 'moroccan tea', 'bandara', 'moroccan culture', 'putri', 'belgium', 'grace', 'moroccan night', 'bab firdaus']",Cultural & Language,"['Oreintal', 'Cultural', 'Arabic', 'Markets & Souks', 'Heritage', 'Outdoor Spaces']","['bassem', 'bira', 'huda', 'asif', 'African', 'omar', 'flexi', 'Moroccan', 'al mirqab', 'liang', 'marakesh', 'fs', 'Neapolitan', 'mich', 'adil', 'moroccan food', 'moroccan dishes', 'espa', 'izu', 'Central-Italian', 'mahindra', 'marmara', 'mourad', 'heart of marrakech', 'arabic coffee', 'french', 'Southern-Italian', 'visiting marrakech', 'rania', 'mona', 'speak french', 'BYOB', 'roshan', 'Lebanese', 'souks', 'Sicilian', 'esperanza', 'visiting doha', 'cantika', 'gueliz', 'hakkasan', 'rousseau', 'Chinese', 'louie', 'french families', 'french guests', 'Spanish', 'yummmy', 'bleu', 'British', 'maha', 'lok', 'rochelle', 'patara', 'eunice', 'camel riding', 'tuan', 'International', 'jemaa el', 'hossam', 'bhawani', 'elsa', 'sara', 'Mediterranean', 'Japanese', 'nadir', 'kempenski', 'meera', 'Romana', 'nino', 'hassan', 'zizou', 'lal', 'sabir', 'edward', 'Asian', 'f b', 'jemaa el fnaa square', 'world cup', 'sou sou', 'l orangerie', 'moroccan cuisine', 'amal', 'sofra', 'badia', 'souk', 'Italian', 'moroccan restaurant', 'yunus', 'johannes', 'Middle Eastern', 'ismail', 'corniche', 'crazy souks', 'Japanese Fusion', 'qatar', 'tui rep', 'cabana', 'arabic', 'fouad', 'al sufra', 'jo ann', 'shiva', 'charles', 'olea', 'souq waqif', 'mellah', 'ihg', 'rai', 'dada', 'funda', 'Indian', 'visit marrakech', 'Thai', 'al wadi', 'el faro', 'qatar airways', 'paninis', 'camel ride', 'winston churchill', 'Turkish', 'anthony', 'dh', 'nur', 'abed', 'fatima', 'eid', 'selma', 'iftar', 'hassan ii', 'abu', 'maldives', 'mido', 'nadia', 'emmanuel', 'terrasse', 'susu', 'souq', 'European', 'sharif', 'suman', 'Persian', 'arabic restaurant', 'kasbah', 'Mexican', 'rahman', 'morocco', 'rosette', 'farah', 'casablanca', 'marrakech', 'yuzu', 'menara', 'hind', 'nana', 'shisha', 'manu', 'bacem', 'salim', 'Arabic', 'koutoubia', 'museum of islamic art', 'el', 'ona', 'juluis', 'french speaking', 'Lazio', 'al nahham', 'osama', 'jasmin', 'ayoub', 'luc', 'persian', 'barcelo', 'sindhi', 'ashok', 'la mar', 'aya', 'wolfgang puck', 'American', 'French', 'moroccan tea', 'bandara', 'moroccan culture', 'putri', 'belgium', 'grace', 'moroccan night', 'bab firdaus']"
1,79,1_restaurant_breakfast_buffet_cafe,"['restaurant', 'breakfast', 'buffet', 'cafe', 'cooking', 'orange', 'was', 'yogurt', 'options', 'mint']","['breakfast buffet', 'buffet restaurant', 'breakfast restaurant']",Dining & Food,"['restaurant', 'buffet', 'Dining', 'Food & Drink', 'Cuisine', 'Beverages', 'Local Flavors']","['semi buffet', 'Pizza', 'Gluten free options', 'mint restaurant', 'buffet restaurant', 'buffet breakfast', 'black orchid', 'Vegetarian friendly', 'coral restaurant', 'Non-smoking restaurants', 'Steakhouse', 'tagine', 'Kosher', 'Grill', 'coffee machine', 'pancakes', 'mosaic restaurant', 'Cafe', 'breakfast was excellent', 'yogurt', 'breakfast buffet', 'mykonos restaurant', 'Lunch', 'Vegan options', 'Diner', 'cafe murano', 'belgian cafe', 'cooking class', 'Private Dining', 'main restaurant', 'Barbecue', 'Seafood', 'Breakfast', 'buffet food', 'artisan centre', 'Soups', 'Fast Food', 'Halal', 'breakfast was amazing', 'azraq restaurant', 'orange juice', 'Dog Friendly', 'brunch', 'cake shop', 'sweets', 'symphony restaurant', 'kitchenette', 'fresh orange juice', 'olive trees', 'meal times', 'greek restaurant', 'homemade yogurt', 'olives', 'international restaurant', 'cooking school', 'colonial restaurant', 'breakfast and dinner', 'breakfast buffet is', 'cookery course', 'coffee shop across the street', 'fresh fruit', 'Buffet', 'morimoto restaurant', 'cut restaurant', 'Dinner', 'breakfast restaurant', 'show cooking', 'Cheap Eats', 'orange blossom', 'varieties', 'supermarket', ""rick's cafe"", 'rose petals', 'small kitchen', 'mint tea', 'Brunch', 'Gastropub', 'breakfast was delicious', 'Fine Dining']",Dining & Food,"['restaurant', 'buffet', 'Dining', 'Food & Drink', 'Cuisine', 'Beverages', 'Local Flavors']","['semi buffet', 'Pizza', 'Gluten free options', 'mint restaurant', 'buffet restaurant', 'buffet breakfast', 'black orchid', 'Vegetarian friendly', 'coral restaurant', 'Non-smoking restaurants', 'Steakhouse', 'tagine', 'Kosher', 'Grill', 'coffee machine', 'pancakes', 'mosaic restaurant', 'Cafe', 'breakfast was excellent', 'yogurt', 'breakfast buffet', 'mykonos restaurant', 'Lunch', 'Vegan options', 'Diner', 'cafe murano', 'belgian cafe', 'cooking class', 'Private Dining', 'main restaurant', 'Barbecue', 'Seafood', 'Breakfast', 'buffet food', 'artisan centre', 'Soups', 'Fast Food', 'Halal', 'breakfast was amazing', 'azraq restaurant', 'orange juice', 'Dog Friendly', 'brunch', 'cake shop', 'sweets', 'symphony restaurant', 'kitchenette', 'fresh orange juice', 'olive trees', 'meal times', 'greek restaurant', 'homemade yogurt', 'olives', 'international restaurant', 'cooking school', 'colonial restaurant', 'breakfast and dinner', 'breakfast buffet is', 'cookery course', 'coffee shop across the street', 'fresh fruit', 'Buffet', 'morimoto restaurant', 'cut restaurant', 'Dinner', 'breakfast restaurant', 'show cooking', 'Cheap Eats', 'orange blossom', 'varieties', 'supermarket', ""rick's cafe"", 'rose petals', 'small kitchen', 'mint tea', 'Brunch', 'Gastropub', 'breakfast was delicious', 'Fine Dining']"
